GERACAO INDIVIDUO VAR_U VAR_V VAR_W VAR_X VAR_Y VAR_Z AVALIACAO
0 1 33,9623 77,4345 10,1135 0,8125 102,9452 4,5555 43,8188 Populacao_Inicial_SA
0 2 24,6876 52,5839 5,4996 1,3405 136,1114 3,8049 51,3031 Populacao_Inicial_SA
0 3 30,8027 95,3481 5,7166 0,6364 127,3307 4,1175 52,4955 Populacao_Inicial_SA
0 4 23,8054 32,8029 1,7164 1,4091 142,5437 3,1871 49,8430 Populacao_Inicial_SA
0 5 28,4596 85,1924 8,8700 1,4895 132,3346 4,6539 55,9790 Populacao_Inicial_SA
0 6 26,2616 66,3064 1,9286 1,7115 113,3685 4,4434 42,8023 Populacao_Inicial_SA
0 7 28,0701 80,7653 11,9302 2,9965 129,3583 4,6944 45,5026 Populacao_Inicial_SA
0 8 26,0213 73,6153 14,5052 1,8751 126,6972 4,2108 46,2869 Populacao_Inicial_SA
0 9 38,7780 96,3984 5,0446 0,8343 140,3437 4,7369 52,3834 Populacao_Inicial_SA
0 10 30,0233 33,2863 4,0589 0,5189 137,3080 4,1009 50,5245 Populacao_Inicial_SA
0 11 32,4706 95,5265 11,9233 1,7846 139,9878 4,6117 55,4693 Populacao_Inicial_SA
0 12 22,9698 68,2736 0,6760 2,6222 131,0696 4,7846 47,3490 Populacao_Inicial_SA
0 13 27,2176 92,3045 1,4128 1,1909 137,4340 3,4806 49,8476 Populacao_Inicial_SA
0 14 31,5679 73,7954 3,0008 1,6489 137,2879 4,2013 49,3791 Populacao_Inicial_SA
0 15 28,9853 93,9008 12,7875 2,7556 132,8915 4,7028 50,3338 Populacao_Inicial_SA
0 16 37,0880 80,0070 12,2840 0,7599 104,3900 4,2946 43,3757 Populacao_Inicial_SA
0 17 26,0703 93,9359 6,4018 0,7218 111,8582 3,8185 44,4279 Populacao_Inicial_SA
0 18 22,2781 34,6937 5,9158 0,9834 130,2294 3,9307 47,9767 Populacao_Inicial_SA
0 19 23,6053 83,8074 14,2016 1,1493 121,2660 4,5792 54,4869 Populacao_Inicial_SA
0 20 34,3115 78,7863 13,7348 0,6705 125,5910 4,7065 52,1193 Populacao_Inicial_SA
0 21 37,9282 76,7401 7,0460 1,0888 137,9118 4,6823 50,7333 Populacao_Inicial_SA
0 22 23,9932 82,9260 1,0904 1,9488 138,0884 3,1849 44,3467 Populacao_Inicial_SA
0 23 23,2460 69,5168 3,6972 1,1285 126,6698 4,6776 57,3058 Populacao_Inicial_SA
0 24 22,7416 71,9362 2,6729 1,7425 141,4507 4,1342 58,0482 Populacao_Inicial_SA
0 25 26,1673 55,8990 5,4130 2,3292 141,5356 4,7811 53,2408 Populacao_Inicial_SA
0 26 27,0414 92,0610 12,8769 1,7425 110,3559 4,4849 47,6147 Populacao_Inicial_SA
0 27 36,7297 91,4895 13,0115 1,0430 107,1341 4,4823 46,1607 Populacao_Inicial_SA
0 28 27,4129 75,9306 5,3953 1,2245 117,5521 3,6000 43,4471 Populacao_Inicial_SA
